,userID,itemID,reviewText,rating
662,AAA0TUKS5VBSA,B004TPUT9Y,"Pasta that is gluten free and made in the microwave sounds awful, but the rice pasta in the Pastariso Mac and Cheese meal cup turned out surprisingly well. I would even place it over the vegan microwave cups I've had. The texture is great and it tastes a lot like wheat pasta.Preparation is simple: add water, stir, and microwave. I have a low power microwave, so I doubled the time and it came out perfectly.The cheese sauce is very bland, without a distinct cheesy flavor. I added some sea salt and it seemed to work magic, making it much brighter and cheesier. More therapy may be needed to make this a meal, such as a can of tuna. Also, keep in mind that the portion is small.Because I really liked the pasta, I would recommend trying these (before buying a pack of 6) if you have to avoid gluten. Otherwise, there are probably better products with more flavor.Note: I've eaten the brown and white rice bowls and did not notice much difference.  The texture is good for both.  I would probably go with the brown rice version for health reasons.",3.0
275,A2YW1MG1GKU8XD,B0025UCI0I,"I have some members of my family who are not crazy about whole wheat pasta no matter how much I want to convince them that it is good for them  ;)  This is my first time trying this particular kind so I was happy to try it.This pasta has 51% whole wheat durum flour, 6 grams of fiber, and 7 grams of protein per serving, that's just the pasta!  Surprisingly, my family really liked it! Even those who are not crazy about whole wheat, they were very pleased with the bite and flavor of this spaghetti.I cooked it just like the box indicates and used it just like regular spaghetti and meatballs.  Very delicious and more nutritious.  I am definitely getting more of this.",4.0
235,ACJT8MUC0LRF0,B0025UCHRC,"We've always used Barilla in this house, but occasionally have purchased an off brand that was on sale.  Sometimes the sale items are on sale for a reason and we've ended up with a box that tasted just like that ... a box.  I like to transfer my pastas to glass jars when I get them.  It not only maintains the freshness, but it also looks nice.  I enjoy regular mezze penne tossed with olive oil, chunk tomatoes, and veggies, but the multigrain was a new one on me.  I do like the whole wheat Barilla pastas and decidedly enjoyed this one as well.  I simply prepared it in the same way I usually do, yet found it had a richer flavor to it. Traditional sauces for mezze penne are meat, vegetable, chunky tomato, and cream saucesThis Barilla Penne Plus will cook up in 11 - 13 minutes.  What I especially like about it is the higher protein count (10g per serving) as I'm always looking for foods that are nutritionally balanced as well as high in protein.  In addition there are 360 mg of ALA Omega-3 and 7g of fiber, something else I really like.  Barilla products are one of our family's ""stock up"" items and we tend to buy it in bulk and this is one I'll be adding to the list.  Barilla Mezze Penne Plus is especially good for one of those quick and easy meals, especially if you need something hot, yet healthy.NUTRITION FACTS:Serving Size:  2 oz.(56g - about 1/7 box)Servings Per Container about 7Calories  210Calories from Fat  20Total Fat 2gSaturated Fat  0gTrans Fat  0gPolyunsaturated Fat  1gMonounsaturated Fat  0.5gCholesterol  0mgSodium  025gTotal Carbohydrate  38gDietary Fiber  4gSugars  2gProtein 10gINGREDIENTS:Semolina, Grain and Legume Flour Blend [Grains and Legumes (Lentils, Chickpeas, Flaxseed, Barley, Spelt, Oats), Egg Whites, Oat Fiber], Durum Flour, Niacin, Iron (Ferrous Sulfate), Thiamine Mononitrate, Riboflavin, Folic Acid.Barilla Mezze PenneBarilla Mini WheelsBarilla Linguine FiniBarilla Mini FarfalleBarilla SpaghettiBarilla Oven Ready LasagneBarilla White Fiber - Mini PenneBarilla Spaghetti RigatiBarilla Ditalini Soup CutsBarilla Campanelle Pasta",5.0
93,A1Z54EM24Y40LL,B000MDCDJ6,"This is a very nice &#34;snack&#34; for on-the-goers such as ourselves. There really isn't much of a basil flavor.  Honestly, the strength of the tuna taste FAR outweighs any spice that is added.  I can't really say that you can taste anything BUT tuna, but it is good and a great snack.  You don't get enough crackers, however, so be sure to grab a box of Ritz to supplement them.  They are pretty bland crackers too - no flavor at all so I actually used Ritz on most of the can.Great if you love tuna, nice, not so fattening snack too.  Recommend!",4.0
1148,A2OCDK0BOW6UCY,B0096RP84Q,"The soups are flavorful and the ease of preparation is remarkable. Approximately two servings are contained in each microwavable pouch. Just tear the top of the pouch as directed, microwave for two to two and half minutes, let stand for a minute and serve. The directions are clear and the design thoughtful.So far I have tried two varieties, the Chicken and Quinoa with Poblano Chiles and the Red Pepper Smoked Gouda. The Chicken Quinoa was like a mild chicken chile.  There were chunks of shredded chicken, corn, beans and chiles. It was thicker than soup, the consistency like a stew. I was pleased that there was flavor and it made a nice warming dish on a cold winter day.The Red Pepper Smoked Gouda had a more soup-like consistency.  There were a few chunks of pepper and maybe tomato. I think they should have committed to either chunky or smooth and personally would have preferred it without the  chunks. The flavor was decent with the smokey gouda melding with the pepper.Overall these are decent entries in the conveninece foods race. The ease of preparation can't be beat and the flavors are good for a prepared soup. While I enjoyed them for lunch I could see either being a component in a more complex meal.",4.0
1848,AEC90GPFKLAAW,B00DUQDEZY,"I mixed this up with some sour cream, the way I do Hidden Valley Ranch dressing mix.  It tasted ok, just not as flavorful as Hidden Valley.  It has 130 mg of salt per teaspoon, which made it taste a little too salty for my family.  It tasted a little better the next day, when the flavors had mixed, but I'll stick with Hidden Valley for my holiday dips.I give this product 3.5 stars.",3.0
1330,A2YW1MG1GKU8XD,B009WPKGQC,"I have to say that being a hot sauce lover, I was skeptical of the flavor of this sauce - I think it had to do with the Hollywood bandito pic on the bottle. But I was surprised at how tasty it actually is.It contains habanero and Japanese chili peppers which are pretty hot peppers.  My husband and I like ""El Yucateco Red Chile Habanero Sauce"" which is very hot and it has habanero peppers and tomato, so I thought the gringo bandito sauce would be in the same heat category or even more.To my surprise, I found this sauce very tasty.  The heat is not overpowering and yet it has a nice flavor to it.  It has plenty of spices to make it delicious.  It has Xantham Gum which makes a nice thickening, and of course, the best ingredient must be the `mojo'.I am assuming that the kind of vinegar they use (first ingredient) is something like apple cider vinegar.  It would make sense since ACV tends to kill some heat but yet, bring a tasty flavor to sauces (I have done this in my own sauces).  We have used this sauce on different things from eggs to hot dogs.  We can't wait to try it on pizza!We will definitely be buying some here soon, we are about to use a bunch tonight with lamb tacos. Highly recommend it if you like a good hot sauce.  This is not made for people that cannot tolerate Tabasco sauce or something in that heat level.  It is not super hot, but it is not mild either.  Very tasty, very tasty.",5.0
776,A2YKWYC3WQJX5J,B005HGJ3ZK,"Right off the bat, let me say I added less water...and I think that is part of why it was so good. In my opinion, it would satisfy someone who is used to (and enjoys) the name brand mac & cheese cup so many kids eat. The white rice version was similar, so go with the brown rice. Whole grain and gluten free....and fast!",4.0
135,AAA0TUKS5VBSA,B0016B9FSU,"I have had positive experiences with Jarrow supplements, and their coconut oil is similarly high quality.  It has a very nice light flavor and works well in basically any dish that requires oil.  I have used it for both cooking (stir fry) and flavor (rice) with good results.  It is very stiff if refrigerated to extend its shelf life, but that is a natural property and not the fault of Jarrow.",5.0
702,A1ZH9LWMX5UCFJ,B004YV80O4,"My sodium radar told me to not even try this product, but it sounded good so I did. Ew! A whopping 900mg of sodium in a one cup serving, to go with the 370 calories. It is worth it to take the extra effort to boil whole grain pasta, make a cheese rue myself, then add hamburger. Time-consuming, sure, but way better tasting and better for me. Even my husband gave it a thumbs-down and he is like Mikey from Life cereal commercials!",1.0
1753,AAA0TUKS5VBSA,B00DBSG77S,"There are two components to review: the container cup and the crackers.  Cheez-Its are a classic treat, combining basic crackers with generic cheese powder.  This doesn't sound exciting, but the generic flavor allows them to work well with many types of foods, such as soups and sandwiches.  As a standalone treat, they are pretty addictive too.  The White Cheddar variety is similar to Original, with a milder flavor.The plastic cup seemed like a great idea, allowing me to eat a few at a time and reseal the rest.  Unfortunately, once the lid and foil cover are removed, the lid no longer fits tightly.  It is not safe to have the cup tumbling around in a car, and the contents will go stale quickly.  Even a regular foil pouch with a gem clip provides a better seal.A mini version of our favorite traditional snacks in resealable hand-friendly containers is a great idea, but the execution is not there yet.",4.0
324,A2OCDK0BOW6UCY,B002IEVJRY,"I enjoyed this canned coffee drink chilled.  It had a nice coffee flavor with a kiss of cocoa.  It was not to milky, oily or sweet. The slim cans are easily portable with convenient pop top tabs.  This summer I will skip the noxious energy drinks, overly sugared juices and steaming hot coffee and enjoy  this instead.",4.0
567,A3FKGKUCI3DG9U,B004FEJ968,"Recently, I triedNewtons Fruit Thins Fig and Honeycookies.  Then someone brought a package of the Cranberry type to work.  I like the cranberry cookies better.The cookies themselves are good. They are thin, but that was the idea, wasn't it? The cookies have a nice texture. You can taste the cranberries. The calorie count, 140 for three cookies, is about the same as the granola bars that I sometimes snack on. Just don't eat the whole box at once.The ingredients are also reasonable with the exception of the use of palm oil. As palm oil use has increased dramatically over the past ten years, commercial growers have been clearing rain forests in Indonesia and Malaysia to create palm oil plantations. The palm oil is used in food production, as in these cookies, and in the manufacture of bio-fuels. The result is a loss of endangered species and ironically increased carbon emission. There has been some movement to either reduce palm oil use or use only palm oil from sustainable sources. There have even been stories of girl scouts agitating to sell only palm-oil-free cookies.Kraft is aware of the palm oil situation. It is not clear that they are doing anything about it. This is from a July 15, 2009 Wall Street Journal article: ""Kraft spokesman Richard D. Buino said that while the company supports the RSPO's [Roundtable for Sustainable Palm Oil] efforts, 'it is clear more work is needed to consolidate standards, enforce principles, verify traceability along the supply chain and ensure competitive pricing to bring certified palm oil to market. We're monitoring the RSPO process and actively engaging our suppliers to monitor their certification efforts to find viable options for sourcing sustainable palm oil.' Neither Nestl&eacute; nor Kraft directly addressed purchases of Malaysia's certified palm oil.""",4.0
590,A1W415JP5WEAJK,B004JGQ15E,"If you are a fan of caramel corn (or crackerjacks), you will enjoy these. Essentially, they are a heavily covered caramel corn, drizzled over with just the right amount of chocolate.I am trying to be specific about the level of caramel, since the brand I have been using is actually ""kettle corn"" with the chocolate, and taste quite different than these do. These are much sweeter, and really hit home when it comes to having a ""sweet tooth.""Since they have 150 calories, you will need to be cautious about including them in your diet, but if you are a caramel corn fan, it will be well worth finding a place for these.",4.0
841,A2V92F5R7MLCVI,B005Y10X9S,"If you are a cinnamon lover, these are the bars for you. In fact my spouse said they had too much cinnamon. I am not overly fond of raisins in baked items and I could hardly taste them in these bars. So that is good for me, but not raisin lovers. The icing lends a nice sweet taste.There does seem to be a grainy after taste, possibly because the main ingredient is soy protein nuggets and soy protein isolate, then tapioca starch.At 130 calories each, unless I had a real cinnamon craving I rather search for another snack or granola bar.",3.0
1579,A36MP37DITBU6F,B00BNR7I18,"This is a handy portable shelf stable fruit mix. Great for lunch boxes, after school, snacks, picnic or anytime. This Apple Berry Banana tasted good. MY 2, 4, and 13 year old loved the flavor. I tasted mostly apple sauce with a little strawberry and hint of banana.gluten free, dairy free",4.0
1334,A36MP37DITBU6F,B00A0GT9Z6,"This little kit is just what I needed to clean my stove. It has the handle, and pads (with resealable bag) that work great. It only takes a little elbow grease and this works great to clean most spills on the stove.I admit I do have some dark burnt on stains. I did not expect it to get them, but this did at least lighten and take a little off.  So I plan to use this for my once a week stove top cleaning.",3.0
297,A3NHUQ33CFH3VM,B0026ZYZ7Q,"As the packages shows, this tea is aged for 2 months.  That's not a long time compared to most ripe Pu'erh teas but long enough to make it dark.  I like it very much.  The addition of ginger gives it something unique and some extra pungent quality.I recommend this tea - it's excellent.",5.0
